,roc-auc,prc-auc,ece,mce,nll,brier
ChemBERTa_none,31,31,14,9,19,28
ChemBERTa_MCDropout,26,27,13,8,18,25
ChemBERTa_TemperatureScaling,30,30,1,4,12,14
ChemBERTa_SWAG,27,26,21,12,21,24
ChemBERTa_BBP,28,28,31,19,28,32
ChemBERTa_SGLD,25,25,19,21,22,20
ChemBERTa_DeepEnsembles,29,29,11,5,17,27
ChemBERTa_FocalLoss,32,32,4,6,14,26
DNN-rdkit_none,19,13,32,25,30,31
DNN-rdkit_MCDropout,22,15,25,18,20,22
DNN-rdkit_TemperatureScaling,18,12,20,14,16,18
DNN-rdkit_SWAG,21,17,30,26,29,29
DNN-rdkit_BBP,11,8,28,22,24,17
DNN-rdkit_SGLD,20,18,29,28,31,30
DNN-rdkit_DeepEnsembles,15,9,23,24,25,19
DNN-rdkit_FocalLoss,17,10,22,7,10,13
Uni-Mol_none,24,24,15,23,23,16
Uni-Mol_MCDropout,13,21,18,27,26,15
Uni-Mol_TemperatureScaling,23,23,3,16,8,9
Uni-Mol_SWAG,16,19,27,30,32,23
Uni-Mol_BBP,7,20,26,32,27,21
Uni-Mol_SGLD,1,1,16,29,15,5
Uni-Mol_DeepEnsembles,4,16,5,31,2,3
Uni-Mol_FocalLoss,14,22,17,3,6,11
GROVER_none,9,6,9,20,11,8
GROVER_MCDropout,12,11,12,11,9,10
GROVER_TemperatureScaling,10,7,2,17,1,2
GROVER_SWAG,2,2,6,15,5,1
GROVER_BBP,8,14,24,1,13,12
GROVER_SGLD,5,3,7,13,7,4
GROVER_DeepEnsembles,6,5,8,2,4,6
GROVER_FocalLoss,3,4,10,10,3,7
