,rmse,mae,nll,ce
ChemBERTa_none,18,16,14,14
ChemBERTa_MCDropout,17,17,13,13
ChemBERTa_SWAG,20,20,17,17
ChemBERTa_BBP,21,22,11,9
ChemBERTa_SGLD,22,21,12,11
ChemBERTa_DeepEnsembles,15,15,9,10
Uni-Mol_none,5,4,20,22
Uni-Mol_MCDropout,4,3,19,21
Uni-Mol_SWAG,6,6,23,23
Uni-Mol_BBP,3,2,1,7
Uni-Mol_SGLD,2,5,3,8
Uni-Mol_DeepEnsembles,1,1,8,20
GROVER_none,11,11,22,18
GROVER_MCDropout,9,10,21,16
GROVER_SWAG,13,12,24,19
GROVER_BBP,24,24,18,24
GROVER_SGLD,10,8,4,3
GROVER_DeepEnsembles,8,7,16,15
DNN-rdkit_none,14,14,6,6
DNN-rdkit_MCDropout,12,13,5,5
DNN-rdkit_SWAG,16,18,15,12
DNN-rdkit_BBP,23,23,10,2
DNN-rdkit_SGLD,19,19,7,1
DNN-rdkit_DeepEnsembles,7,9,2,4
