,roc-auc,prc-auc,ece,mce,nll,brier
DNN-rdkit_none,29,29,5,22,14,15
DNN-rdkit_MCDropout,27,27,2,10,11,12
DNN-rdkit_TemperatureScaling,28,28,11,26,19,16
DNN-rdkit_SWAG,24,23,9,15,15,18
DNN-rdkit_BBP,21,21,15,16,13,17
DNN-rdkit_SGLD,26,26,13,5,20,19
DNN-rdkit_DeepEnsembles,20,7,3,4,7,4
DNN-rdkit_FocalLoss,30,30,31,2,31,31
GROVER_none,5,16,6,30,5,7
GROVER_MCDropout,4,14,4,32,4,5
GROVER_TemperatureScaling,6,17,10,28,6,8
GROVER_SWAG,2,10,8,29,3,3
GROVER_BBP,32,32,29,1,30,29
GROVER_SGLD,25,18,18,20,12,13
GROVER_DeepEnsembles,1,6,1,8,1,2
GROVER_FocalLoss,15,22,32,14,32,32
Uni-Mol_none,8,11,16,25,21,14
Uni-Mol_MCDropout,10,15,24,27,25,25
Uni-Mol_TemperatureScaling,7,12,12,19,10,11
Uni-Mol_SWAG,11,20,26,24,29,21
Uni-Mol_BBP,13,19,17,21,24,20
Uni-Mol_SGLD,14,13,19,31,22,6
Uni-Mol_DeepEnsembles,3,3,14,11,9,9
Uni-Mol_FocalLoss,12,8,30,17,26,26
ChemBERTa_none,17,5,21,12,17,24
ChemBERTa_MCDropout,16,2,7,3,2,1
ChemBERTa_TemperatureScaling,18,4,23,13,18,23
ChemBERTa_SWAG,23,24,25,18,23,27
ChemBERTa_BBP,19,9,22,9,16,22
ChemBERTa_SGLD,31,31,27,23,28,30
ChemBERTa_DeepEnsembles,9,1,20,6,8,10
ChemBERTa_FocalLoss,22,25,28,7,27,28
