,rmse,mae,nll,ce
DNN-rdkit_none,20,17,7,5
DNN-rdkit_MCDropout,18,16,15,11
DNN-rdkit_SWAG,19,18,10,8
DNN-rdkit_BBP,23,21,11,6
DNN-rdkit_SGLD,15,14,4,2
DNN-rdkit_DeepEnsembles,13,12,8,9
ChemBERTa_none,17,20,18,15
ChemBERTa_MCDropout,12,13,12,12
ChemBERTa_SWAG,22,23,20,16
ChemBERTa_BBP,16,19,5,4
ChemBERTa_SGLD,21,22,13,13
ChemBERTa_DeepEnsembles,14,15,16,14
GROVER_none,9,9,23,23
GROVER_MCDropout,8,8,22,22
GROVER_SWAG,10,10,24,24
GROVER_BBP,24,24,6,1
GROVER_SGLD,11,11,1,3
GROVER_DeepEnsembles,7,7,21,21
Uni-Mol_none,6,5,14,17
Uni-Mol_MCDropout,2,2,19,19
Uni-Mol_SWAG,3,4,17,20
Uni-Mol_BBP,5,3,2,7
Uni-Mol_SGLD,4,6,3,10
Uni-Mol_DeepEnsembles,1,1,9,18
