,roc-auc,prc-auc,ece,mce,nll,brier
DNN-rdkit_none,25.75,24.75,17.25,17.375,24.125,22.875
DNN-rdkit_MCDropout,26.5,24.75,13.0,9.75,19.375,18.625
DNN-rdkit_TemperatureScaling,25.75,25.125,15.375,17.625,21.125,19.875
DNN-rdkit_SWAG,26.375,24.25,18.5,16.375,25.625,23.5
DNN-rdkit_BBP,19.5,18.125,15.875,9.25,16.25,18.0
DNN-rdkit_SGLD,27.625,28.5,25.875,12.75,28.75,27.75
DNN-rdkit_DeepEnsembles,20.0,15.375,7.125,16.0,11.75,13.125
DNN-rdkit_FocalLoss,25.875,25.0,24.375,6.625,22.375,24.0
GROVER_none,11.625,14.125,11.5,19.375,8.875,9.875
GROVER_MCDropout,11.25,12.5,10.5,19.75,7.625,8.625
GROVER_TemperatureScaling,12.625,14.0,8.875,19.375,7.5,9.25
GROVER_SWAG,9.125,9.375,11.625,21.25,8.875,8.375
GROVER_BBP,16.625,19.0,21.875,10.25,14.625,15.75
GROVER_SGLD,18.625,18.25,18.5,13.0,15.125,15.5
GROVER_DeepEnsembles,8.5,8.25,8.125,13.625,5.375,6.875
GROVER_FocalLoss,15.0,14.875,23.375,9.5,21.5,22.25
Uni-Mol_none,11.5,14.375,15.5,22.125,16.125,13.875
Uni-Mol_MCDropout,12.875,13.75,19.875,25.75,19.25,17.25
Uni-Mol_TemperatureScaling,11.0,12.75,11.875,19.625,13.125,12.75
Uni-Mol_SWAG,10.125,12.0,22.125,25.625,22.25,18.25
Uni-Mol_BBP,12.125,17.75,17.0,17.5,15.5,16.25
Uni-Mol_SGLD,14.625,13.5,18.0,21.75,18.75,14.375
Uni-Mol_DeepEnsembles,5.125,7.75,8.875,14.375,7.625,6.5
Uni-Mol_FocalLoss,10.0,11.75,23.5,12.125,19.375,20.5
ChemBERTa_none,15.625,12.625,17.375,19.0,18.875,19.375
ChemBERTa_MCDropout,12.5,11.0,10.75,12.25,10.625,10.0
ChemBERTa_TemperatureScaling,15.875,12.375,12.0,17.75,13.75,15.375
ChemBERTa_SWAG,16.125,14.0,19.5,19.25,21.375,20.375
ChemBERTa_BBP,20.75,20.125,19.0,18.875,16.0,19.5
ChemBERTa_SGLD,21.0,21.75,19.75,13.75,19.0,18.5
ChemBERTa_DeepEnsembles,12.375,9.875,13.0,17.25,11.625,12.25
ChemBERTa_FocalLoss,17.625,18.375,20.125,11.125,17.875,20.625
