,roc-auc,prc-auc,ece,mce,nll,brier
ChemBERTa_none,20,10,21,29,18,22
ChemBERTa_MCDropout,12,16,19,23,16,17
ChemBERTa_TemperatureScaling,19,9,17,28,11,23
ChemBERTa_SWAG,21,6,22,30,21,24
ChemBERTa_BBP,26,21,18,27,13,25
ChemBERTa_SGLD,30,31,24,3,14,16
ChemBERTa_DeepEnsembles,11,8,14,25,12,19
ChemBERTa_FocalLoss,16,13,25,26,25,28
Uni-Mol_none,4,5,13,20,15,8
Uni-Mol_MCDropout,3,3,16,21,19,9
Uni-Mol_TemperatureScaling,5,7,11,17,17,11
Uni-Mol_SWAG,6,17,20,24,22,20
Uni-Mol_BBP,7,18,8,13,4,3
Uni-Mol_SGLD,27,28,3,1,7,10
Uni-Mol_DeepEnsembles,2,4,12,19,10,2
Uni-Mol_FocalLoss,1,1,26,22,26,26
GROVER_none,14,15,9,8,3,5
GROVER_MCDropout,13,12,10,5,5,6
GROVER_TemperatureScaling,15,14,2,4,9,7
GROVER_SWAG,9,2,4,11,1,1
GROVER_BBP,8,20,23,15,8,12
GROVER_SGLD,29,29,27,6,28,27
GROVER_DeepEnsembles,10,11,5,9,2,4
GROVER_FocalLoss,17,19,29,10,30,30
DNN-rdkit_none,25,23,7,7,24,15
DNN-rdkit_MCDropout,22,22,6,2,20,13
DNN-rdkit_TemperatureScaling,24,24,31,31,23,21
DNN-rdkit_SWAG,28,27,15,14,27,18
DNN-rdkit_SGLD,31,30,30,18,31,31
DNN-rdkit_DeepEnsembles,18,26,1,12,6,14
DNN-rdkit_FocalLoss,23,25,28,16,29,29
