,rmse,mae,nll,ce
Uni-Mol_none,9,6,21,23
Uni-Mol_MCDropout,7,5,19,21
Uni-Mol_SWAG,10,7,22,24
Uni-Mol_BBP,2,2,7,12
Uni-Mol_SGLD,1,1,1,5
Uni-Mol_DeepEnsembles,8,3,16,22
ChemBERTa_none,21,16,23,15
ChemBERTa_MCDropout,18,12,15,13
ChemBERTa_SWAG,22,19,24,16
ChemBERTa_BBP,15,15,9,11
ChemBERTa_SGLD,17,21,3,4
ChemBERTa_DeepEnsembles,20,14,20,14
DNN-rdkit_none,14,18,13,9
DNN-rdkit_MCDropout,13,17,5,6
DNN-rdkit_SWAG,16,20,14,10
DNN-rdkit_BBP,19,22,11,7
DNN-rdkit_SGLD,23,23,6,1
DNN-rdkit_DeepEnsembles,12,11,4,8
GROVER_none,5,8,17,19
GROVER_MCDropout,4,9,12,17
GROVER_SWAG,6,10,18,20
GROVER_BBP,24,24,8,2
GROVER_SGLD,11,13,2,3
GROVER_DeepEnsembles,3,4,10,18
