,roc-auc,prc-auc,ece,mce,nll,brier
Uni-Mol_none,7,19,11,16,10,10
Uni-Mol_MCDropout,20,14,19,23,19,21
Uni-Mol_TemperatureScaling,9,18,4,10,5,6
Uni-Mol_SWAG,5,3,24,26,22,22
Uni-Mol_BBP,3,9,7,5,3,3
Uni-Mol_SGLD,2,1,21,29,23,19
Uni-Mol_DeepEnsembles,1,4,1,6,1,1
Uni-Mol_FocalLoss,11,6,29,4,25,28
GROVER_none,8,12,10,24,9,9
GROVER_MCDropout,4,8,6,20,6,4
GROVER_TemperatureScaling,10,13,3,21,4,5
GROVER_SWAG,18,11,14,28,18,13
GROVER_BBP,32,32,32,1,32,32
GROVER_SGLD,24,28,8,8,8,8
GROVER_DeepEnsembles,6,5,2,19,2,2
GROVER_FocalLoss,23,20,31,7,29,31
DNN-rdkit_none,26,26,16,12,24,23
DNN-rdkit_MCDropout,28,23,12,13,15,14
DNN-rdkit_TemperatureScaling,27,27,9,11,12,15
DNN-rdkit_SWAG,25,25,17,14,26,24
DNN-rdkit_BBP,31,30,18,9,14,20
DNN-rdkit_SGLD,29,31,28,2,28,30
DNN-rdkit_DeepEnsembles,14,2,5,25,7,7
DNN-rdkit_FocalLoss,30,24,30,3,27,29
ChemBERTa_none,16,17,25,30,30,26
ChemBERTa_MCDropout,13,7,13,18,13,11
ChemBERTa_TemperatureScaling,17,16,20,27,17,17
ChemBERTa_SWAG,15,15,27,31,31,27
ChemBERTa_BBP,22,29,15,17,11,12
ChemBERTa_SGLD,19,21,22,22,16,18
ChemBERTa_DeepEnsembles,12,10,23,32,21,16
ChemBERTa_FocalLoss,21,22,26,15,20,25
