,roc-auc,prc-auc,ece,mce,nll,brier
ChemBERTa_none,19,20,24,31,25,26
ChemBERTa_MCDropout,16,17,15,14,15,14
ChemBERTa_TemperatureScaling,18,19,16,22,18,23
ChemBERTa_SWAG,21,18,25,30,27,28
ChemBERTa_BBP,24,24,21,17,19,20
ChemBERTa_SGLD,23,23,23,20,21,24
ChemBERTa_DeepEnsembles,15,15,19,18,14,16
ChemBERTa_FocalLoss,22,21,27,9,29,29
DNN-rdkit_none,26,29,13,6,20,19
DNN-rdkit_MCDropout,27,25,8,4,17,17
DNN-rdkit_TemperatureScaling,25,28,4,5,16,18
DNN-rdkit_SWAG,29,27,18,7,22,22
DNN-rdkit_BBP,31,30,14,2,23,27
DNN-rdkit_SGLD,30,31,32,1,32,32
DNN-rdkit_DeepEnsembles,20,22,5,8,13,15
DNN-rdkit_FocalLoss,28,26,30,3,30,30
GROVER_none,13,11,9,23,5,7
GROVER_MCDropout,11,10,6,28,4,6
GROVER_TemperatureScaling,12,12,1,15,3,4
GROVER_SWAG,10,6,10,21,6,5
GROVER_BBP,32,32,29,10,31,31
GROVER_SGLD,17,16,12,12,9,10
GROVER_DeepEnsembles,8,4,2,25,2,2
GROVER_FocalLoss,14,5,31,11,28,25
Uni-Mol_none,5,8,20,29,11,11
Uni-Mol_MCDropout,6,7,22,27,12,12
Uni-Mol_TemperatureScaling,4,9,7,26,7,9
Uni-Mol_SWAG,9,2,26,32,26,13
Uni-Mol_BBP,2,13,11,19,8,8
Uni-Mol_SGLD,7,3,17,24,10,3
Uni-Mol_DeepEnsembles,1,1,3,16,1,1
Uni-Mol_FocalLoss,3,14,28,13,24,21
