,roc-auc,prc-auc,ece,mce,nll,brier
Uni-Mol_none,6,16,4,18,2,5
Uni-Mol_MCDropout,5,7,11,24,6,4
Uni-Mol_TemperatureScaling,1,1,26,21,23,17
Uni-Mol_SWAG,3,3,12,25,4,3
Uni-Mol_BBP,21,20,24,1,21,25
Uni-Mol_SGLD,28,27,28,8,28,28
Uni-Mol_DeepEnsembles,4,11,2,13,1,1
Uni-Mol_FocalLoss,2,2,21,11,10,7
GROVER_none,12,10,7,28,11,11
GROVER_MCDropout,10,9,3,22,7,8
GROVER_TemperatureScaling,16,6,25,29,24,24
GROVER_SWAG,11,8,8,26,12,12
GROVER_BBP,26,26,27,5,27,27
GROVER_SGLD,29,30,30,3,30,30
GROVER_DeepEnsembles,8,5,5,23,8,9
GROVER_FocalLoss,19,19,20,2,17,19
DNN-rdkit_none,23,24,15,17,19,21
DNN-rdkit_MCDropout,22,22,13,12,16,18
DNN-rdkit_TemperatureScaling,24,23,14,14,26,22
DNN-rdkit_SWAG,25,25,16,16,20,23
DNN-rdkit_SGLD,31,31,31,7,31,31
DNN-rdkit_DeepEnsembles,17,18,1,6,5,10
DNN-rdkit_FocalLoss,20,21,22,4,18,20
ChemBERTa_none,14,14,19,31,15,15
ChemBERTa_MCDropout,9,12,10,20,9,6
ChemBERTa_TemperatureScaling,15,15,9,27,25,13
ChemBERTa_SWAG,13,13,18,30,14,14
ChemBERTa_BBP,27,28,23,15,22,26
ChemBERTa_SGLD,30,29,29,9,29,29
ChemBERTa_DeepEnsembles,7,4,6,19,3,2
ChemBERTa_FocalLoss,18,17,17,10,13,16
