,roc-auc,prc-auc,ece,mce,nll,brier
DNN-rdkit_none,29,26,25,22,31,29
DNN-rdkit_MCDropout,32,31,24,12,30,28
DNN-rdkit_TemperatureScaling,30,30,16,10,29,21
DNN-rdkit_SWAG,28,20,20,14,32,24
DNN-rdkit_BBP,27,21,30,21,27,32
DNN-rdkit_SGLD,25,29,23,23,26,22
DNN-rdkit_DeepEnsembles,23,12,12,20,8,13
DNN-rdkit_FocalLoss,31,32,3,5,7,8
ChemBERTa_none,4,2,7,8,17,6
ChemBERTa_MCDropout,1,1,5,6,6,3
ChemBERTa_TemperatureScaling,5,3,6,4,4,4
ChemBERTa_SWAG,3,5,9,3,21,9
ChemBERTa_BBP,11,13,11,26,13,11
ChemBERTa_SGLD,7,8,10,7,18,7
ChemBERTa_DeepEnsembles,6,4,8,2,14,5
ChemBERTa_FocalLoss,2,7,2,1,2,2
GROVER_none,19,27,18,19,12,16
GROVER_MCDropout,21,22,17,16,10,15
GROVER_TemperatureScaling,20,28,13,25,5,12
GROVER_SWAG,12,25,27,29,20,23
GROVER_BBP,24,23,14,13,9,14
GROVER_SGLD,8,11,22,17,16,20
GROVER_DeepEnsembles,18,18,15,15,11,17
GROVER_FocalLoss,14,17,1,11,1,1
Uni-Mol_none,15,9,26,28,25,25
Uni-Mol_MCDropout,22,19,28,30,23,27
Uni-Mol_TemperatureScaling,17,10,19,24,15,19
Uni-Mol_SWAG,10,15,32,31,28,30
Uni-Mol_BBP,26,24,31,27,22,31
Uni-Mol_SGLD,13,14,29,32,24,26
Uni-Mol_DeepEnsembles,9,6,21,9,19,18
Uni-Mol_FocalLoss,16,16,4,18,3,10
