,rmse,mae,nll,ce
Uni-Mol_none,5,7,16,22
Uni-Mol_MCDropout,3,4,17,23
Uni-Mol_SWAG,6,10,20,24
Uni-Mol_BBP,4,5,2,5
Uni-Mol_SGLD,1,1,1,7
Uni-Mol_DeepEnsembles,2,3,10,20
GROVER_none,12,14,12,10
GROVER_MCDropout,13,16,14,9
GROVER_SWAG,14,15,19,15
GROVER_BBP,19,19,6,1
GROVER_SGLD,20,21,4,3
GROVER_DeepEnsembles,9,13,8,8
ChemBERTa_none,23,22,23,19
ChemBERTa_MCDropout,15,17,21,17
ChemBERTa_SWAG,21,20,24,21
ChemBERTa_BBP,24,24,9,6
ChemBERTa_SGLD,22,23,18,13
ChemBERTa_DeepEnsembles,18,18,22,16
DNN-rdkit_none,8,6,13,14
DNN-rdkit_MCDropout,10,9,15,18
DNN-rdkit_SWAG,11,8,11,12
DNN-rdkit_BBP,16,11,3,4
DNN-rdkit_SGLD,17,12,5,2
DNN-rdkit_DeepEnsembles,7,2,7,11
