,roc-auc,prc-auc,ece,mce,nll,brier
DNN-rdkit_none,30,30,5,21,15,16
DNN-rdkit_MCDropout,28,28,2,9,12,13
DNN-rdkit_TemperatureScaling,29,29,11,25,20,17
DNN-rdkit_SWAG,25,24,9,14,16,19
DNN-rdkit_BBP,22,22,16,15,14,18
DNN-rdkit_SGLD,27,27,13,4,21,20
DNN-rdkit_DeepEnsembles,21,8,3,3,8,5
DNN-rdkit_FocalLoss,31,31,31,1,31,31
GROVER_none,5,17,6,29,5,8
GROVER_MCDropout,4,15,4,32,4,6
GROVER_TemperatureScaling,6,18,10,27,7,9
GROVER_SWAG,2,11,8,28,3,3
GROVER_BBP,7,7,14,31,6,4
GROVER_SGLD,26,19,19,19,13,14
GROVER_DeepEnsembles,1,6,1,7,1,2
GROVER_FocalLoss,16,23,32,13,32,32
Uni-Mol_none,9,12,17,24,22,15
Uni-Mol_MCDropout,11,16,25,26,26,26
Uni-Mol_TemperatureScaling,8,13,12,18,11,12
Uni-Mol_SWAG,12,21,27,23,30,22
Uni-Mol_BBP,14,20,18,20,25,21
Uni-Mol_SGLD,15,14,20,30,23,7
Uni-Mol_DeepEnsembles,3,3,15,10,10,10
Uni-Mol_FocalLoss,13,9,30,16,27,27
ChemBERTa_none,18,5,22,11,18,25
ChemBERTa_MCDropout,17,2,7,2,2,1
ChemBERTa_TemperatureScaling,19,4,24,12,19,24
ChemBERTa_SWAG,24,25,26,17,24,28
ChemBERTa_BBP,20,10,23,8,17,23
ChemBERTa_SGLD,32,32,28,22,29,30
ChemBERTa_DeepEnsembles,10,1,21,5,9,11
ChemBERTa_FocalLoss,23,26,29,6,28,29
