,rmse,mae,nll,ce
Uni-Mol_none,5.833333333333333,4.833333333333333,16.666666666666664,21.166666666666668
Uni-Mol_MCDropout,3.9999999999999996,3.166666666666667,16.666666666666664,21.333333333333332
Uni-Mol_SWAG,6.333333333333333,6.166666666666667,19.666666666666668,22.666666666666668
Uni-Mol_BBP,3.166666666666667,3.0000000000000004,4.333333333333333,10.333333333333332
Uni-Mol_SGLD,2.5,4.0,2.5,9.166666666666668
Uni-Mol_DeepEnsembles,2.4999999999999996,1.8333333333333333,11.0,20.666666666666668
ChemBERTa_none,17.833333333333332,16.666666666666664,18.833333333333332,14.666666666666666
ChemBERTa_MCDropout,14.333333333333334,13.833333333333334,15.0,13.666666666666666
ChemBERTa_SWAG,19.333333333333332,18.500000000000004,20.333333333333336,15.833333333333332
ChemBERTa_BBP,17.666666666666668,18.5,10.833333333333332,9.0
ChemBERTa_SGLD,19.833333333333332,20.5,9.499999999999998,8.5
ChemBERTa_DeepEnsembles,14.833333333333334,13.833333333333332,14.666666666666668,12.666666666666668
DNN-rdkit_none,16.666666666666668,15.666666666666668,11.333333333333332,10.5
DNN-rdkit_MCDropout,15.166666666666666,15.166666666666666,11.333333333333334,10.666666666666666
DNN-rdkit_SWAG,18.0,17.666666666666668,14.000000000000002,12.5
DNN-rdkit_BBP,21.166666666666664,20.5,10.333333333333332,7.333333333333335
DNN-rdkit_SGLD,19.833333333333336,19.333333333333336,6.833333333333333,1.8333333333333333
DNN-rdkit_DeepEnsembles,11.5,11.166666666666666,6.333333333333333,8.666666666666666
GROVER_none,10.666666666666666,11.666666666666666,17.666666666666668,15.999999999999998
GROVER_MCDropout,9.333333333333332,11.166666666666668,16.0,14.333333333333334
GROVER_SWAG,12.333333333333334,13.333333333333332,20.333333333333332,17.833333333333332
GROVER_BBP,14.166666666666666,15.666666666666666,7.666666666666666,4.0
GROVER_SGLD,14.833333333333334,15.166666666666666,4.666666666666666,2.666666666666667
GROVER_DeepEnsembles,8.166666666666666,8.666666666666668,13.5,14.0
